date,line,train_number,origin,destination,scheduled_departure,actual_departure,delay_minutes,cause,passengers_count
2026-04-01,L1,IC501,Bruxelles-Midi,Anvers-Central,06:15,06:15,0,,4250
2026-04-01,L1,IC503,Bruxelles-Midi,Anvers-Central,06:45,06:48,3,signal_failure,3890
2026-04-01,L25,IC701,Bruxelles-Midi,Liege-Guillemins,07:00,07:00,0,,2100
2026-04-01,L25,IC703,Bruxelles-Midi,Liege-Guillemins,07:30,07:42,12,track_maintenance,1850
2026-04-01,L96,IC901,Bruxelles-Midi,Namur,07:15,07:15,0,,1200
2026-04-01,L50A,IC201,Bruxelles-Midi,Gand-Saint-Pierre,06:30,06:33,3,weather,2800
2026-04-01,L51,IC301,Bruxelles-Midi,Bruges,08:00,08:00,0,,3200
2026-04-01,L51,IC303,Bruxelles-Midi,Ostende,08:30,08:45,15,mechanical_issue,1100
2026-04-01,L1,IC505,Bruxelles-Midi,Anvers-Central,07:15,07:15,0,,4100
2026-04-01,L130,IC401,Namur,Charleroi-Sud,09:00,09:05,5,staff_shortage,890
2026-04-02,L1,IC501,Bruxelles-Midi,Anvers-Central,06:15,06:18,3,signal_failure,4300
2026-04-02,L1,IC503,Bruxelles-Midi,Anvers-Central,06:45,06:45,0,,3950
2026-04-02,L25,IC701,Bruxelles-Midi,Liege-Guillemins,07:00,07:08,8,infrastructure,2050
2026-04-02,L25,IC703,Bruxelles-Midi,Liege-Guillemins,07:30,07:30,0,,1900
2026-04-02,L96,IC901,Bruxelles-Midi,Namur,07:15,07:22,7,weather,1150
2026-04-02,L50A,IC201,Bruxelles-Midi,Gand-Saint-Pierre,06:30,06:30,0,,2900
2026-04-02,L51,IC301,Bruxelles-Midi,Bruges,08:00,08:05,5,mechanical_issue,3100
2026-04-02,L51,IC303,Bruxelles-Midi,Ostende,08:30,08:30,0,,1050
2026-04-02,L1,IC505,Bruxelles-Midi,Anvers-Central,07:15,07:25,10,track_maintenance,4050
2026-04-02,L130,IC401,Namur,Charleroi-Sud,09:00,09:00,0,,920
2026-04-03,L1,IC501,Bruxelles-Midi,Anvers-Central,06:15,06:15,0,,4150
2026-04-03,L1,IC503,Bruxelles-Midi,Anvers-Central,06:45,06:50,5,signal_failure,3800
2026-04-03,L25,IC701,Bruxelles-Midi,Liege-Guillemins,07:00,07:00,0,,2200
2026-04-03,L25,IC703,Bruxelles-Midi,Liege-Guillemins,07:30,07:35,5,infrastructure,1800
2026-04-03,L96,IC901,Bruxelles-Midi,Namur,07:15,07:15,0,,1250
2026-04-03,L50A,IC201,Bruxelles-Midi,Gand-Saint-Pierre,06:30,06:45,15,weather,2750
2026-04-03,L51,IC301,Bruxelles-Midi,Bruges,08:00,08:00,0,,3300
2026-04-03,L51,IC303,Bruxelles-Midi,Ostende,08:30,08:38,8,mechanical_issue,1080
2026-04-03,L1,IC505,Bruxelles-Midi,Anvers-Central,07:15,07:15,0,,4200
2026-04-03,L130,IC401,Namur,Charleroi-Sud,09:00,09:12,12,staff_shortage,850
